TUCASEID,GEMETSTA,GTMETSTA,PEEDUCA,PEHSPNON,PTDTRACE,TEAGE,TELFS,TEMJOT,TESCHENR,TESCHLVL,TESEX,TESPEMPNOT,TRCHILDNUM,TRDPFTPT,TRERNWA,TRHOLIDAY,TRSPFTPT,TRSPPRES,TRYHHCHILD,TUDIARYDAY,TUFNWGTP,TEHRUSLT,TUYEAR,TU20FWGT,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50,embed_x,embed_y,cluster
20191210191821,-1,1,41,2,1,39,2,2,2,-1,2,1,2,2,45240,0,1,1,12,7,6809961.086269,24,2019,6809961.086269,640,380,0,0,0,0,145,0,0,0,45,119,0,0,0,0,111,0,-0.5323056,8.483676,15
20191210191830,-1,1,38,1,1,46,5,-1,2,-1,2,-1,2,-1,-1,0,-1,3,4,7,1505287.662038,-1,2019,1505287.662038,600,400,260,0,0,0,0,0,0,0,60,120,0,0,0,0,0,0,-1.870158,5.0226264,9
20191210191851,-1,1,43,2,1,31,4,-1,2,-1,1,-1,0,-1,-1,0,-1,3,-1,1,3352957.163574,-1,2019,3352957.163574,765,20,0,0,0,0,120,0,0,0,30,465,0,0,0,0,40,0,1.2563889,10.062397,16
20191210191862,-1,1,39,1,1,47,1,2,2,-1,2,1,1,2,21153,0,1,1,8,1,4296636.627669,15,2019,4296636.627669,700,45,60,0,0,0,165,0,0,0,65,210,60,0,0,0,135,0,0.17610934,8.861671,15
20191210191863,-1,1,39,2,1,32,1,2,2,-1,1,-1,0,1,105769,0,-1,3,-1,7,12517868.59008,40,2019,12517868.59008,264,0,0,3,0,0,60,0,0,0,356,390,0,0,180,0,187,0,6.9935737,1.9400295,6
20191210191871,-1,1,40,2,1,18,5,-1,1,1,2,-1,0,-1,-1,0,-1,3,-1,5,28007510.047026,-1,2019,28007510.047026,630,0,0,0,0,400,0,0,0,0,80,300,0,0,0,0,30,0,-11.227119,2.29311,0
20191210191907,-1,1,43,2,4,34,1,2,2,-1,1,-1,0,1,76923,0,-1,3,-1,1,4321341.556232,50,2019,4321341.556232,505,175,0,0,20,0,30,0,0,0,90,470,0,0,0,0,30,120,-1.9024464,11.840189,-1
20191210191920,-1,2,44,2,1,33,1,2,2,-1,2,1,2,1,115384,0,1,1,8,5,8972017.542917,40,2019,8972017.542917,600,75,0,0,0,0,125,0,0,0,165,408,0,0,0,0,67,0,-0.7416383,9.622531,15
20191210191924,-1,1,44,2,1,57,4,-1,-1,-1,1,1,0,-1,-1,0,1,1,-1,7,6258603.821271,-1,2019,6258603.821271,751,150,0,60,0,0,0,0,60,0,60,270,60,0,0,5,24,0,-5.680971,18.889154,2
20191210191937,-1,1,33,1,1,50,1,2,-1,-1,2,-1,2,2,22500,0,-1,3,3,3,25045417.563844,-4,2019,25045417.563844,315,540,0,10,405,0,0,0,0,0,90,0,0,0,0,0,54,26,-0.24919663,-2.919845,13
20191210191940,-1,1,37,1,1,50,1,2,-1,-1,2,1,0,2,20000,0,1,1,-1,7,4175000.075218,28,2019,4175000.075218,430,150,0,0,220,0,45,5,0,0,60,410,0,0,0,0,120,0,-0.8008401,-5.0714364,13
20191210191945,-1,1,42,2,1,33,1,2,2,-1,2,1,0,2,44260,0,1,1,-1,5,18310675.274462,20,2019,18310675.274462,630,240,0,0,0,120,0,0,0,0,195,200,0,0,0,0,55,0,-1.8836875,10.520854,-1
20191210191951,-1,1,40,2,2,31,1,2,2,-1,2,-1,2,1,59500,0,-1,3,1,7,3350163.094775,35,2019,3350163.094775,436,100,53,0,459,0,0,0,0,0,25,305,0,0,0,0,62,0,-0.7055657,-4.7830358,13
20191210191953,-1,1,40,1,1,44,1,2,2,-1,2,1,4,1,50800,0,1,1,8,1,7056069.827394,40,2019,7056069.827394,606,290,109,0,0,0,185,0,0,0,30,0,0,60,0,0,100,60,-0.7329902,7.120991,-1
20191210191960,-1,1,39,1,1,29,5,-1,2,-1,1,-1,0,-1,-1,0,-1,3,-1,7,8994412.231202,-1,2019,8994412.231202,145,0,30,0,0,0,25,0,0,0,15,930,0,0,0,10,285,0,-1.3690001,15.137688,24
